Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638152872738088825, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03403714, -0.003623139, -0.03221265, 0.02941223, -0.0002041931, -0.03345245
638152872738258820, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03400627, -0.003926376, -0.03228797, 0.02944161, -0.0004196014, -0.03367766
638152872738418859, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03381369, -0.004800003, -0.03245365, 0.02966692, -0.001054794, -0.03346291
638152872738588761, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03370474, -0.00521785, -0.03251405, 0, 0, 0
638152872739258760, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03426157, -0.005121598, -0.03239485, 0, 0, 0
638152872739418831, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03399579, -0.005236359, -0.0324839, 0, 0, 0
638152872739588756, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03405101, -0.005178711, -0.03246755, 0, 0, 0
638152872739758849, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03414345, -0.004922043, -0.03253499, 0, 0, 0
638152872739918819, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0341429, -0.004788605, -0.03282135, 0.02938123, -0.0003599091, -0.0352856
638152872740088823, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03416957, -0.003692612, -0.0353124, 0.02931183, -0.000249939, -0.03532584
638152872740258825, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03427916, -0.003710312, -0.03501863, 0.0292128, -0.0002952118, -0.0349292
638152872740418822, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03438704, -0.003588562, -0.03507999, 0.02911594, -0.0001701965, -0.03498071
638152872740588837, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03448253, -0.003547104, -0.03477525, 0.0290157, -3.704834E-05, -0.03501711
638152872740758749, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03462172, -0.003305069, -0.03479045, 0.02889061, 6.869507E-05, -0.03488696
638152872740918752, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03480439, -0.003073761, -0.034803, 0.02871686, 0.0001748657, -0.0346555
638152872741088840, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03500932, -0.00289119, -0.03483603, 0.02852391, 0.00010466, -0.03407416
638152872741258822, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03519212, -0.002689835, -0.03498821, 0.02834393, 0.0002465363, -0.03406107
638152872741418846, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0353508, -0.002538956, -0.03501587, 0.02816278, 0.0002601318, -0.03385713
638152872741588776, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03547614, -0.002415176, -0.03493007, 0.02804717, 0.0002999878, -0.03369278
638152872741758759, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03558374, -0.002444565, -0.03446857, 0.02794527, 0.0003055573, -0.03339932
638152872741918754, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03562134, -0.002258789, -0.03499811, 0.02789638, 0.000309372, -0.03328429
